Titulo,Segmento,Etiqueta,Periodo,Anyo,Valor,Unidad,Escala,Importe de hipotecas,Numero de hipotecas,Importe Medio
Demanda Pisos baratos,Google,Busquedas,M02,2021,36892,Busquedas,Unidad,0,0,0
Demanda Pisos baratos,Google,Busquedas,M01,2021,36771,Busquedas,Unidad,0,0,0
Demanda Hipotecas,Google,Busquedas,M02,2021,31757,Busquedas,Unidad,0,0,0
Demanda Hipotecas,Google,Busquedas,M01,2021,25968,Busquedas,Unidad,0,0,0
Total habitantes,Total,,A,2020,3334730,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2019,3266126,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2018,3223334,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2017,3182981,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2016,3165541,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2015,3141991,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2014,3165235,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2013,3207247,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2012,3233527,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2011,3265038,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2010,3273049,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2009,3255944,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2008,3213271,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2007,3132463,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2006,3128600,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2005,3155359,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2004,3099834,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2003,3092759,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2002,3016788,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2001,2957058,Personas,Unidad,0,0,0
Total habitantes,Total,,A,2000,2882860,Personas,Unidad,0,0,0
Total habitantes,Total,,A,1999,2879052,Personas,Unidad,0,0,0
Total habitantes,Total,,A,1998,2881506,Personas,Unidad,0,0,0
Total habitantes,Total,,A,1996,2866850,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2020,1553899,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2019,1520153,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2018,1500190,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2017,1480600,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2016,1472172,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2015,1460597,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2014,1472990,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2013,1494592,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2012,1509851,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2011,1529842,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2010,1537890,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2009,1532079,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2008,1511818,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2007,1471024,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2006,1469284,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2005,1482874,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2004,1453486,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2003,1449343,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2002,1410769,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2001,1380788,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,2000,1345601,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,1999,1344682,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,1998,1346168,Personas,Unidad,0,0,0
Total habitantes,Genero,Hombres,A,1996,1338558,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2020,1780831,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2019,1745973,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2018,1723144,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2017,1702381,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2016,1693369,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2015,1681394,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2014,1692245,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2013,1712655,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2012,1723676,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2011,1735196,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2010,1735159,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2009,1723865,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2008,1701453,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2007,1661439,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2006,1659316,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2005,1672485,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2004,1646348,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2003,1643416,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2002,1606019,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2001,1576270,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,2000,1537259,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,1999,1534370,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,1998,1535338,Personas,Unidad,0,0,0
Total habitantes,Genero,Mujeres,A,1996,1528292,Personas,Unidad,0,0,0
Compraventa,Total,General,M10,2020,5118,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2020,5498,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2020,4027,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2020,3890,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2020,3817,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2020,3829,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2020,3662,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2020,4333,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2020,6574,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2020,6181,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2019,4648,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2019,5182,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2019,6634,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2019,5833,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2019,4932,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2019,6599,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2019,6255,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2019,6251,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2019,5731,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2019,6258,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2019,6792,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2019,6680,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2018,4845,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2018,6370,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2018,6363,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2018,6877,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2018,6312,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2018,6984,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2018,6794,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2018,6623,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2018,6677,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2018,5917,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2018,6225,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2018,6616,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2017,4779,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2017,5740,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2017,6279,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2017,6207,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2017,5772,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2017,6150,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2017,7183,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2017,6230,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2017,5117,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2017,5885,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2017,5353,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2017,5717,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2016,4285,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2016,4685,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2016,4133,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2016,5518,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2016,4840,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2016,4838,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2016,5503,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2016,4921,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2016,5243,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2016,4945,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2016,5290,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2016,4858,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2015,3920,Vivienda,Unidad,0,0,0
