Zone,Category,Offers,Price_m2_med,Price_m2_mean,Price_med,Price_mean,Rooms_med,Diff,Zone_Level,Year,Month,Week,Zone_Catg,Inputs,Outputs,Keep,Inputs_pct,Outputs_pct,Keep_pct,Price_Up,Price_Down,Price_Keep,Fecha
San Cristobal,Fl65.0Ex1b,6,1464,1431,93250,91316,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl55.0Ex1b,6,1584,1531,87450,81966,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl55.0Ex1b,5,1517,1518,90000,88178,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl65.0Ex1b,4,1376,1372,92000,90125,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl55.0Ex1b,4,1327,1339,79630,80380,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Casco Historico de Vallecas,Fl65.0Ex1b,3,1581,1492,98000,95933,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl45.0Ex1b,3,1927,1794,79000,82966,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl75.0Ex1b,3,1167,1126,87550,83516,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Casco Historico de Vallecas,Fl55.0Ex1b,3,1650,1679,99000,94500,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl75.0Ex1b,2,1280,1280,96000,96000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl55.0Ex1bBj,2,1533,1533,92000,92000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Numancia,Fl55.0Ex1b,2,1641,1641,98500,98500,2.50,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Lavapies-Embajadores,Fl25.0In1bBj,2,3262,3262,83700,83700,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Lavapies-Embajadores,Fl25.0In1b,2,3280,3280,82000,82000,0.50,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl65.0Ex1bLf,2,1298,1298,87400,87400,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl65.0In1b,2,1285,1285,84000,84000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta Bonita,Fl55.0Ex1b,2,1654,1654,91000,91000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl35.0Ex1b,2,2557,2557,96750,96750,1.50,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl35.0Ex1bLf,2,2337,2337,93500,93500,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Portazgo,Fl55.0Ex1b,2,1675,1675,95432,95432,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl45.0Ex1bLf,2,1769,1769,83500,83500,1.50,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Portazgo,Fl45.0Ex1bBj,2,1930,1930,96499,96499,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
12 de Octubre-Orcasur,Fl45.0Ex1b,2,2143,2143,90000,90000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Palomeras sureste,Fl55.0Ex1b,2,1588,1588,91200,91200,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl45.0In1b,1,1958,1958,97900,97900,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Vista Alegre,Fl55.0In1b,1,1510,1510,80010,80010,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Ventas,Fl25.0In1bLfBj,1,2467,2467,74000,74000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl55.0In1bLfBj,1,1158,1158,66000,66000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl55.0In1b,1,1827,1827,95000,95000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl55.0Ex1bLf,1,1582,1582,94900,94900,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Ventilla-Almenara,Fl45.0Ex1bLfBj,1,2379,2379,99900,99900,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Vista Alegre,Fl55.0Ex1b,1,1778,1778,96000,96000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta del Angel,Fl65.0Ex1b,1,1143,1143,80000,80000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta del Angel,Fl45.0Ex2bBj,1,1680,1680,84000,84000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta del Angel,Fl45.0Ex1bLfBj,1,2111,2111,95000,95000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta del Angel,Fl45.0Ex1bBj,1,1500,1500,75000,75000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl65.0Ex1bLf,1,1383,1383,89900,89900,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta Bonita,FlnanIn2bLf,1,931,931,95000,95000,4.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta Bonita,Fl55.0In1b,1,1745,1745,96000,96000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Vista Alegre,Fl65.0In1b,1,1202,1202,79358,79358,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Puerta Bonita,Fl35.0Ex1bBj,1,2909,2909,96000,96000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Pradolongo,Fl45.0Ex1bBj,1,2045,2045,90000,90000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Pradolongo,Fl45.0Ex1b,1,2302,2302,99000,99000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Zofio,Fl45.0Ex1bBj,1,1605,1605,69000,69000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Zofio,Fl55.0Ex1bBj,1,1357,1357,76000,76000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Pinar del Rey,Fl25.0Ex1bBj,1,3267,3267,98000,98000,0.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl65.0Ex1bBj,1,1331,1331,81200,81200,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl65.0Ex1bLfBj,1,1397,1397,95000,95000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl55.0In1bBj,1,1648,1648,89000,89000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Palomeras sureste,Fl25.0In1b,1,2333,2333,70000,70000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl75.0Ex1bLfBj,1,1042,1042,75000,75000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Fermin,Fl55.0Ex1b,1,1696,1696,89900,89900,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl45.0Ex1bBj,1,1659,1659,68000,68000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Fermin,Fl65.0Ex1bLf,1,1508,1508,95000,95000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Isidro,Fl35.0Ex1bBj,1,1795,1795,70000,70000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl35.0Ex1bBj,1,2368,2368,90000,90000,0.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Isidro,Fl45.0In1bBj,1,2302,2302,99000,99000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl25.0In1bBj,1,2496,2496,69900,69900,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Diego,Fl25.0Ex1bBj,1,3545,3545,78000,78000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Isidro,Fl65.0In1b,1,1304,1304,90000,90000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Andres,Fl65.0In1bBj,1,1331,1331,81200,81200,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Isidro,Fl75.0In2bBj,1,1186,1186,94900,94900,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Simancas,Fl35.0Ex1bLfBj,1,2781,2781,89000,89000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl65.0Ex1bBj,1,1327,1327,84900,84900,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Simancas,Fl45.0Ex1b,1,2043,2043,89900,89900,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Simancas,Fl45.0Ex1bLf,1,1860,1860,93000,93000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Tres Olivos - Valverde,Fl35.0Ex1bBj,1,2143,2143,75000,75000,0.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl55.0In1bLf,1,1212,1212,70300,70300,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Tres Olivos - Valverde,Fl55.0Ex1bBj,1,1727,1727,95000,95000,0.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Ventas,Fl25.0Ex1bBj,1,3300,3300,99000,99000,0.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
San Cristobal,Fl75.0In1b,1,1128,1128,88000,88000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Palomeras Bajas,Fl95.0In2bBj,1,957,957,91907,91907,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Palomeras sureste,Fl25.0Ex1bBj,1,2500,2500,75000,75000,0.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Entrevias,Fl75.0Ex1b,1,1306,1306,94000,94000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Entrevias,Fl65.0Ex1b,1,1424,1424,94000,94000,3.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Ensanche de Vallecas - La Gavia,Fl65.0Ex1bLf,1,1370,1370,95900,95900,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Ensanche de Vallecas - La Gavia,Fl55.0Ex2bLf,1,1707,1707,99000,99000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Ensanche de Vallecas - La Gavia,Fl45.0Ex1bLf,1,2063,2063,99000,99000,1.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Comillas,Fl55.0Ex1bBj,1,1618,1618,89000,89000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Casco Historico de Vallecas,Fl65.0In1bBj,1,1491,1491,99900,99900,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
Casco Historico de Vallecas,Fl45.0Ex1bBj,1,1700,1700,85000,85000,2.00,0.00,Neighborhood,2020,M12,W52,,,,,,,,,,,2020-12-24
