Address,Bathrooms,Category,District,Externalreference,Floor,Floor_int,Has_Lift,Has_Parking,Id,Inputs,Is_Ext,Is_New,Keeps,Latitude,Longitude,Municipality,Neighborhood,Operation,Outputs,Price,Price_Diff,Price_Diff_pc,Price_Distr,Price_Down,Price_Keep,Price_Neighb,Price_Old,Price_Up,Price_m2,Price_m2_Distr,Price_m2_Distr_Diff_pc,Price_m2_Neighb,Price_m2_Neighb_Diff_pc,Province,Rooms,Size,Size_Interval,Status,Sub_Type,Subtitle,Title,Total,Type,Url,Fecha
Calle Sierra Carbonera,1.00,Fl35Ex1bBj,Puente de Vallecas,0,bj,bj,False,False,91777405,0,True,False,1,40.3908841,-3.6605448,Madrid,Palomeras Bajas,sale,0,63000.00,0,0.00,90000.00,0,1,89000.00,63000.00,0,1969.00,1659.00,18.70,1583.00,24.40,Madrid,2.00,32.00,"(30, 40]",good,flat,"Palomeras Bajas, Madrid",Piso en Calle Sierra Carbonera,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91777405/"", ""https://www.idealista.com/inmueble/91777405/"")",2021-01-18
"Calle Uranio, 4",1.00,Fl45In1b,Villaverde,SRB_SOLVIA_48024,4,alt,False,False,91324303,0,False,False,1,40.3545891,-3.6811252,Madrid,Butarque,sale,0,74000.00,0,0.00,88750.00,0,1,89500.00,74000.00,0,1644.00,1428.00,15.10,1571.00,4.60,Madrid,3.00,45.00,"(40, 50]",good,flat,"Butarque, Madrid","Piso en Calle Uranio, 4",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91324303/"", ""https://www.idealista.com/inmueble/91324303/"")",2021-01-18
Calle de Zurita,1.00,Fl25In1b,Centro,RP127202077992,0,alt,False,False,92103615,0,False,False,1,40.4100301,-3.7004677,Madrid,Lavapies-Embajadores,sale,0,75000.00,0,0.00,94999.50,0,1,92499.50,75000.00,0,3000.00,4475.00,-33.00,4005.00,-25.10,Madrid,1.00,25.00,"(20, 30]",good,flat,"Lavapies-Embajadores, Madrid",Piso en Calle de Zurita,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92103615/"", ""https://www.idealista.com/inmueble/92103615/"")",2021-01-18
Calle Eulogio Pedrero,1.00,Fl45Ex1bLfBj,Villa de Vallecas,0,bj,bj,True,False,92010534,0,True,False,1,40.3733239,-3.6219203,Madrid,Casco Historico de Vallecas,sale,0,99900.00,0,0.00,97000.00,0,1,97500.00,99900.00,0,2270.00,1850.00,22.70,1881.50,20.60,Madrid,1.00,44.00,"(40, 50]",good,flat,"Casco Historico de Vallecas, Madrid",Piso en Calle Eulogio Pedrero,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92010534/"", ""https://www.idealista.com/inmueble/92010534/"")",2021-01-18
Calle Peironcely,1.00,Fl55Ex1bLfBj,Puente de Vallecas,0,bj,bj,True,False,87437658,1,True,False,0,40.3800107,-3.671839,Madrid,Entrevias,sale,0,99999.00,0,0.00,90000.00,0,1,94000.00,0.00,0,1667.00,1659.00,0.50,1424.00,17.10,Madrid,2.00,60.00,"(50, 60]",good,flat,"Entrevias, Madrid",Piso en Calle Peironcely,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/87437658/"", ""https://www.idealista.com/inmueble/87437658/"")",2021-01-18
Calle Martell,1.00,Fl65Ex1bLf,Puente de Vallecas,0,3,alt,True,False,90832424,0,True,False,1,40.3853763,-3.6682217,Madrid,San Diego,sale,0,95000.00,0,0.00,90000.00,0,1,89700.00,95000.00,0,1557.00,1659.00,-6.10,1716.00,-9.30,Madrid,3.00,61.00,"(60, 70]",good,flat,"San Diego, Madrid",Piso en Calle Martell,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90832424/"", ""https://www.idealista.com/inmueble/90832424/"")",2021-01-18
Calle Milmarcos,1.00,Fl45Ex1bLfBj,Villa de Vallecas,MAD-MM,bj,bj,True,False,87046131,1,True,False,0,40.3760936,-3.6202667,Madrid,Casco Historico de Vallecas,sale,0,98000.00,0,0.00,97000.00,0,1,97500.00,0.00,0,1960.00,1850.00,5.90,1881.50,4.20,Madrid,2.00,50.00,"(40, 50]",good,flat,"Casco Historico de Vallecas, Madrid",Piso en Calle Milmarcos,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/87046131/"", ""https://www.idealista.com/inmueble/87046131/"")",2021-01-18
Calle Musica s/n,1.00,Fl45Ex1b,San Blas,0,1,alt,False,False,85909222,0,True,False,1,40.4241942,-3.6233115,Madrid,Amposta,sale,0,85000.00,0,0.00,95000.00,0,1,90000.00,85000.00,0,1771.00,1827.00,-3.10,1800.00,-1.60,Madrid,1.00,48.00,"(40, 50]",good,flat,"Amposta, Madrid",Piso en Calle Musica s/n,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/85909222/"", ""https://www.idealista.com/inmueble/85909222/"")",2021-01-18
"Calle Topete, 13",1.00,Fl25In1b,Tetuan,RP136202074970,1,alt,False,False,91379223,1,False,False,0,40.4496522,-3.7047968,Madrid,Bellas Vistas,sale,0,99000.00,0,0.00,91200.00,0,1,94450.00,0.00,0,3808.00,3030.00,25.70,3419.00,11.40,Madrid,0.00,26.00,"(20, 30]",good,studio,"Bellas Vistas, Madrid","Estudio en Calle Topete, 13",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91379223/"", ""https://www.idealista.com/inmueble/91379223/"")",2021-01-18
Calle de Javier de Miguel,1.00,Fl45In1b,Puente de Vallecas,2860,0,alt,False,False,92016362,0,False,False,1,40.3840117,-3.6546412999999998,Madrid,Palomeras Bajas,sale,0,85000.00,-9500,-10.10,90000.00,1,0,89000.00,94500.00,0,1700.00,1659.00,2.50,1583.00,7.40,Madrid,2.00,50.00,"(40, 50]",good,flat,"Palomeras Bajas, Madrid",Piso en Calle de Javier de Miguel,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92016362/"", ""https://www.idealista.com/inmueble/92016362/"")",2021-01-18
